Ind.ID,Survey.Date,Project,Species,Sex,Bd.presence
23321540,5/18/10,WY,A.boreas,female,NA
23321540,5/24/11,WY,A.boreas,male,negative
23321540,5/24/11,WY,A.boreas,male,negative
23321540,5/24/11,WY,A.boreas,male,negative
23321540,5/26/11,WY,A.boreas,male,negative
23321540,5/26/11,WY,A.boreas,male,negative
23321540,5/26/11,WY,A.boreas,male,negative
23321540,6/3/11,WY,A.boreas,male,negative
23321540,6/3/11,WY,A.boreas,male,negative
23321540,6/3/11,WY,A.boreas,male,negative
23321540,6/4/11,WY,A.boreas,male,negative
23321540,6/4/11,WY,A.boreas,male,negative
23321540,6/4/11,WY,A.boreas,male,negative
23321540,6/5/11,WY,A.boreas,male,negative
23321540,6/5/11,WY,A.boreas,male,negative
23321540,6/5/11,WY,A.boreas,male,negative
23321540,5/27/10,WY,A.boreas,female,NA
23380870,6/5/11,WY,A.boreas,male,negative
23573322,5/26/10,WY,A.boreas,male,NA
23573322,6/3/11,WY,A.boreas,male,negative
23573322,6/4/11,WY,A.boreas,male,negative
23573322,6/5/11,WY,A.boreas,male,negative
23573322,5/27/10,WY,A.boreas,male,NA
24354345,5/30/16,WY,A.boreas,male,NA
24354345,5/30/16,WY,A.boreas,male,negative
24354345,6/3/11,WY,A.boreas,male,negative
24354345,6/3/11,WY,A.boreas,male,negative
24354345,6/3/14,WY,A.boreas,male,NA
24354345,6/3/14,WY,A.boreas,male,negative
24354345,6/4/11,WY,A.boreas,male,negative
24354345,6/4/11,WY,A.boreas,male,negative
24354345,6/5/11,WY,A.boreas,male,negative
24354345,6/5/11,WY,A.boreas,male,negative
33849618,8/24/09,CA,Rana draytonii,Female,Negative
33849618,8/18/10,CA,Rana draytonii,Female,Negative
34365312,8/24/09,CA,Rana draytonii,Female,Positive
34365312,8/16/10,CA,Rana draytonii,Female,Positive
34365312,8/17/10,CA,Rana draytonii,Female,Negative
34365312,3/20/13,CA,Rana draytonii,Female,Negative
43103052,5/16/14,CA,Rana muscosa,Female,Negative
43103052,8/21/14,CA,Rana muscosa,Female,Negative
43103052,7/6/11,CA,Rana muscosa,Female,Negative
